47  69  63
5  47  29  2
5  47  28  2
5  47  27  2
5  47  26  1
5  47  25  1
5  46  29  2
5  46  28  2
5  46  27  2
5  46  26  1
5  46  25  1
5  46  24  1
5  46  23  1
5  45  52  2
5  45  51  2
5  45  29  2
5  45  28  2
5  45  27  2
5  45  26  2
5  45  25  1
5  45  24  1
5  45  23  1
5  45  22  1
5  44  29  2
5  44  28  2
5  44  27  2
5  44  26  2
5  44  25  2
5  44  24  1
5  44  23  1
5  44  22  1
5  44  21  1
5  43  28  2
5  43  27  2
5  43  26  2
5  43  25  2
5  43  24  2
5  43  23  1
5  43  22  1
5  43  21  1
5  42  28  2
5  42  27  2
5  42  26  2
5  42  25  2
5  42  24  2
5  42  23  2
5  42  22  1
5  42  21  1
5  41  54  1
5  41  53  1
5  41  52  1
5  41  51  1
5  41  25  2
5  41  24  2
5  41  23  2
5  41  22  2
5  40  54  1
5  40  53  1
5  40  52  1
5  40  51  1
5  39  54  1
5  39  53  1
5  39  52  1
6  50  30  1
6  50  29  1
6  50  28  1
6  50  27  1
6  49  31  2
6  49  30  2
6  49  29  1
6  49  28  1
6  49  27  1
6  49  26  1
6  49  25  1
6  49  24  1
6  48  55  2
6  48  54  2
6  48  53  1
6  48  52  1
6  48  51  1
6  48  50  1
6  48  32  2
6  48  31  2
6  48  30  2
6  48  29  2
6  48  28  1
6  48  27  1
6  48  26  1
6  48  25  1
6  48  24  1
6  48  23  1
6  47  57  3
6  47  56  3
6  47  55  2
6  47  54  2
6  47  53  2
6  47  52  1
6  47  51  1
6  47  50  1
6  47  49  1
6  47  48  2
6  47  47  2
6  47  46  2
6  47  32  2
6  47  31  2
6  47  30  2
6  47  29  2
6  47  28  2
6  47  27  1
6  47  26  1
6  47  25  1
6  47  24  1
6  47  23  1
6  47  22  1
6  46  57  3
6  46  56  3
6  46  55  2
6  46  54  2
6  46  53  2
6  46  52  1
6  46  51  1
6  46  50  1
6  46  49  1
6  46  48  1
6  46  47  2
6  46  46  2
6  46  45  2
6  46  32  2
6  46  31  2
6  46  30  2
6  46  29  2
6  46  28  0
6  46  27  0
6  46  26  0
6  46  25  1
6  46  24  1
6  46  23  1
6  46  22  1
6  46  21  1
6  46  20  1
6  45  57  3
6  45  56  3
6  45  55  3
6  45  54  2
6  45  53  2
6  45  52  2
6  45  51  1
6  45  50  1
6  45  49  1
6  45  48  1
6  45  47  1
6  45  46  2
6  45  45  2
6  45  32  1
6  45  31  2
6  45  30  2
6  45  29  2
6  45  28  0
6  45  27  0
6  45  26  0
6  45  25  0
6  45  24  0
6  45  23  1
6  45  22  1
6  45  21  1
6  45  20  1
6  44  57  3
6  44  56  3
6  44  55  3
6  44  54  3
6  44  53  2
6  44  52  2
6  44  51  2
6  44  50  1
6  44  49  1
6  44  48  1
6  44  47  1
6  44  46  2
6  44  45  2
6  44  32  1
6  44  31  1
6  44  30  2
6  44  29  2
6  44  28  2
6  44  27  0
6  44  26  0
6  44  25  0
6  44  24  0
6  44  23  0
6  44  22  1
6  44  21  1
6  44  20  1
6  44  19  1
6  43  57  3
6  43  56  3
6  43  55  3
6  43  54  3
6  43  53  3
6  43  52  2
6  43  51  2
6  43  50  2
6  43  49  1
6  43  48  1
6  43  47  1
6  43  46  1
6  43  45  2
6  43  32  1
6  43  31  1
6  43  30  1
6  43  29  2
6  43  28  2
6  43  27  0
6  43  26  0
6  43  25  0
6  43  24  0
6  43  23  0
6  43  22  0
6  43  21  1
6  43  20  1
6  43  19  1
6  42  57  3
6  42  56  3
6  42  55  3
6  42  54  3
6  42  53  3
6  42  52  1
6  42  51  2
6  42  50  2
6  42  49  2
6  42  48  1
6  42  47  1
6  42  46  1
6  42  45  2
6  42  32  1
6  42  31  1
6  42  30  1
6  42  29  2
6  42  28  2
6  42  27  2
6  42  26  2
6  42  25  2
6  42  24  0
6  42  23  0
6  42  22  1
6  42  21  1
6  42  20  1
6  42  19  1
6  41  56  3
6  41  55  3
6  41  54  3
6  41  53  1
6  41  52  1
6  41  51  2
6  41  50  2
6  41  49  2
6  41  48  2
6  41  47  1
6  41  46  1
6  41  45  1
6  41  32  1
6  41  31  1
6  41  30  1
6  41  29  1
6  41  28  1
6  41  27  2
6  41  26  2
6  41  25  2
6  41  24  2
6  41  23  2
6  41  22  2
6  41  21  1
6  41  20  1
6  41  19  1
6  40  55  3
6  40  54  1
6  40  53  1
6  40  52  1
6  40  51  1
6  40  50  2
6  40  49  2
6  40  48  2
6  40  47  1
