25  39  50
5  25  38  1
5  24  38  1
5  23  38  1
5  22  38  1
5  25  37  1
5  24  37  1
5  23  37  1
5  22  37  1
5  19  37  2
5  18  37  2
5  17  37  2
5  24  36  1
5  23  36  1
5  22  36  1
5  19  36  2
5  18  36  2
5  17  36  1
5  23  35  1
5  22  35  2
5  19  35  1
5  18  35  1
5  17  35  1
5  20  21  2
5  19  21  2
5  18  21  2
5  17  21  2
5  16  21  2
5  15  21  2
5  21  20  2
5  20  20  2
5  19  20  2
5  18  20  2
5  17  20  2
5  16  20  2
5  15  20  2
5  22  19  2
5  21  19  2
5  20  19  2
5  19  19  2
5  18  19  2
5  17  19  2
5  16  19  1
5  15  19  1
5  22  18  2
5  21  18  2
5  20  18  2
5  19  18  2
5  18  18  1
5  17  18  1
5  16  18  1
5  15  18  1
5  22  17  2
5  21  17  2
5  20  17  1
5  19  17  1
5  18  17  1
5  17  17  1
5  16  17  1
5  22  16  2
5  21  16  1
5  20  16  1
5  19  16  1
5  18  16  1
5  17  16  1
6  32  43  3
6  31  43  3
6  30  43  3
6  22  40  3
6  21  40  3
6  20  40  3
6  19  40  3
6  18  40  3
6  17  40  3
6  16  40  3
6  15  40  3
6  24  39  3
6  23  39  3
6  22  39  3
6  21  39  3
6  20  39  3
6  19  39  3
6  18  39  3
6  17  39  3
6  16  39  3
6  15  39  2
6  14  39  2
6  25  38  1
6  24  38  1
6  23  38  1
6  22  38  3
6  21  38  3
6  20  38  3
6  19  38  3
6  18  38  2
6  17  38  2
6  16  38  2
6  15  38  2
6  14  38  2
6  25  37  1
6  24  37  1
6  23  37  1
6  22  37  1
6  21  37  1
6  20  37  2
6  19  37  2
6  18  37  2
6  17  37  2
6  16  37  2
6  15  37  1
6  14  37  1
6  25  36  1
6  24  36  1
6  23  36  1
6  22  36  2
6  21  36  2
6  20  36  2
6  19  36  2
6  18  36  0
6  17  36  1
6  16  36  1
6  15  36  1
6  14  36  1
6  25  35  2
6  24  35  2
6  23  35  2
6  22  35  2
6  21  35  2
6  20  35  1
6  19  35  1
6  18  35  1
6  17  35  1
6  16  35  1
6  15  35  1
6  14  35  1
6  24  34  2
6  23  34  2
6  22  34  2
6  21  34  1
6  20  34  1
6  19  34  1
6  18  34  1
6  17  34  1
6  16  34  1
6  15  34  1
6  14  34  1
6  23  33  1
6  22  33  1
6  21  33  1
6  20  33  1
6  19  33  1
6  18  33  1
6  17  33  2
6  16  33  2
6  15  33  2
6  23  32  1
6  22  32  1
6  21  32  1
6  20  32  2
6  19  32  2
6  18  32  2
6  17  32  2
6  16  32  2
6  15  32  2
6  22  31  2
6  21  31  2
6  20  31  2
6  19  31  2
6  18  31  2
6  17  31  2
6  23  23  1
6  22  23  1
6  21  23  1
6  20  23  1
6  19  23  1
6  18  23  1
6  17  23  1
6  16  23  2
6  15  23  2
6  14  23  2
6  13  23  2
6  23  22  1
6  22  22  1
6  21  22  1
6  20  22  1
6  19  22  2
6  18  22  2
6  17  22  2
6  16  22  2
6  15  22  2
6  14  22  2
6  13  22  2
6  12  22  2
6  24  21  1
6  23  21  1
6  22  21  1
6  21  21  2
6  20  21  2
6  19  21  2
6  18  21  2
6  17  21  2
6  16  21  2
6  15  21  2
6  14  21  2
6  13  21  2
6  12  21  1
6  11  21  1
6  24  20  1
6  23  20  1
6  22  20  2
6  21  20  2
6  20  20  2
6  19  20  0
6  18  20  0
6  17  20  0
6  16  20  0
6  15  20  2
6  14  20  1
6  13  20  1
6  12  20  1
6  11  20  1
6  24  19  2
6  23  19  2
6  22  19  2
6  21  19  2
6  20  19  0
6  19  19  0
6  18  19  0
6  17  19  0
6  16  19  0
6  15  19  1
6  14  19  1
6  13  19  1
6  12  19  1
6  24  18  2
6  23  18  2
6  22  18  2
6  21  18  0
6  20  18  0
6  19  18  0
6  18  18  0
6  17  18  0
6  16  18  1
6  15  18  1
6  14  18  1
6  13  18  1
6  12  18  1
6  24  17  2
6  23  17  2
6  22  17  2
6  21  17  0
6  20  17  0
6  19  17  0
6  18  17  0
6  17  17  1
6  16  17  1
6  15  17  1
6  14  17  1
6  13  17  1
6  24  16  2
6  23  16  2
6  22  16  2
6  21  16  1
6  20  16  1
6  19  16  1
6  18  16  1
6  17  16  1
6  16  16  1
6  15  16  1
6  24  15  2
6  23  15  1
6  22  15  1
6  21  15  1
6  20  15  1
6  19  15  1
6  18  15  1
6  17  15  2
6  16  15  1
6  23  14  1
6  22  14  1
6  21  14  1
6  20  14  1
6  19  14  1
6  18  14  1
7  33  44  3
7  32  44  3
7  31  44  3
7  30  44  3
7  29  44  3
7  33  43  3
7  32  43  3
7  31  43  3
7  30  43  3
7  29  43  3
7  28  43  3
7  32  42  3
7  31  42  3
7  30  42  3
7  29  42  3
7  28  42  3
7  20  42  3
7  19  42  3
7  18  42  3
7  17  42  3
7  16  42  3
7  31  41  3
7  30  41  3
7  29  41  3
7  28  41  3
7  23  41  3
7  22  41  3
7  21  41  3
7  20  41  3
7  19  41  3
7  18  41  3
7  17  41  3
7  16  41  3
7  15  41  3
7  14  41  3
7  30  40  3
7  29  40  3
7  28  40  3
7  24  40  3
7  23  40  3
7  22  40  3
7  21  40  3
7  20  40  3
7  19  40  3
7  18  40  3
7  17  40  3
7  16  40  3
7  15  40  3
7  14  40  3
7  13  40  3
7  30  39  3
7  29  39  3
7  28  39  3
7  25  39  3
7  24  39  3
7  23  39  3
7  22  39  3
7  21  39  0
7  20  39  0
7  19  39  0
7  18  39  0
7  17  39  0
7  16  39  0
7  15  39  3
7  14  39  2
7  13  39  2
7  12  39  2
7  30  38  3
7  29  38  3
7  28  38  3
7  26  38  3
7  25  38  3
7  24  38  3
7  23  38  3
7  22  38  3
7  21  38  0
7  20  38  0
7  19  38  0
7  18  38  0
7  17  38  0
7  16  38  0
7  15  38  0
7  14  38  2
7  13  38  2
7  12  38  1
7  26  37  3
7  25  37  1
7  24  37  1
7  23  37  1
7  22  37  1
7  21  37  1
7  20  37  0
7  19  37  0
7  18  37  0
7  17  37  0
7  16  37  0
7  15  37  0
7  14  37  1
7  13  37  1
7  12  37  1
7  26  36  1
7  25  36  2
7  24  36  2
7  23  36  0
7  22  36  0
7  21  36  1
7  20  36  1
7  19  36  0
7  18  36  0
7  17  36  0
7  16  36  0
7  15  36  0
7  14  36  1
7  13  36  1
7  12  36  1
7  25  35  2
7  24  35  2
7  23  35  2
7  22  35  0
7  21  35  1
7  20  35  1
7  19  35  0
7  18  35  0
7  17  35  0
7  16  35  0
7  15  35  0
7  14  35  1
7  13  35  1
7  24  34  2
7  23  34  1
7  22  34  1
7  21  34  0
7  20  34  1
7  19  34  0
7  18  34  0
7  17  34  0
7  16  34  0
7  15  34  2
7  14  34  2
7  13  34  2
7  24  33  1
7  23  33  1
7  22  33  1
7  21  33  1
7  20  33  1
7  19  33  1
7  18  33  0
7  17  33  0
7  16  33  0
7  15  33  2
7  14  33  2
7  13  33  2
7  23  32  1
7  22  32  1
7  21  32  2
7  20  32  2
7  19  32  1
7  18  32  0
7  17  32  2
7  16  32  2
7  15  32  2
7  14  32  1
7  23  31  2
7  22  31  2
7  21  31  2
7  20  31  2
7  19  31  2
7  18  31  2
7  17  31  1
7  16  31  1
7  15  31  1
7  14  31  1
7  22  30  2
7  21  30  2
7  20  30  1
7  19  30  1
7  18  30  1
7  17  30  1
7  16  30  1
7  15  30  1
7  21  29  1
7  20  29  1
7  19  29  1
7  18  29  1
7  17  29  1
7  23  24  1
7  22  24  1
7  21  24  1
7  20  24  1
7  19  24  1
7  18  24  1
7  17  24  1
7  16  24  1
7  15  24  2
7  14  24  2
7  13  24  2
7  12  24  2
7  24  23  1
7  23  23  1
7  22  23  1
7  21  23  1
7  20  23  1
7  19  23  1
7  18  23  1
7  17  23  1
7  16  23  1
7  15  23  2
7  14  23  2
7  13  23  2
7  12  23  2
7  11  23  2
7  10  23  2
7  25  22  2
7  24  22  1
7  23  22  1
7  22  22  0
7  21  22  0
7  20  22  0
7  19  22  0
7  18  22  0
7  17  22  0
7  16  22  0
7  15  22  0
7  14  22  0
7  13  22  2
7  12  22  2
7  11  22  2
7  10  22  1
7  25  21  1
7  24  21  1
7  23  21  1
7  22  21  0
7  21  21  0
7  20  21  0
7  19  21  0
7  18  21  0
7  17  21  0
7  16  21  0
7  15  21  0
7  14  21  0
7  13  21  0
7  12  21  1
7  11  21  1
7  10  21  1
7  25  20  1
7  24  20  1
7  23  20  0
7  22  20  0
7  21  20  0
7  20  20  0
7  19  20  0
7  18  20  0
7  17  20  0
7  16  20  0
7  15  20  0
7  14  20  0
7  13  20  0
7  12  20  1
7  11  20  1
7  10  20  1
7  25  19  1
7  24  19  1
7  23  19  0
7  22  19  0
7  21  19  0
7  20  19  0
7  19  19  0
7  18  19  0
7  17  19  0
7  16  19  0
7  15  19  0
7  14  19  0
7  13  19  0
7  12  19  1
7  11  19  1
7  10  19  1
7  25  18  2
7  24  18  2
7  23  18  0
7  22  18  0
7  21  18  0
7  20  18  0
7  19  18  0
7  18  18  0
7  17  18  0
7  16  18  0
7  15  18  0
7  14  18  0
7  13  18  1
7  12  18  1
7  11  18  1
7  25  17  2
7  24  17  2
7  23  17  0
7  22  17  0
7  21  17  0
7  20  17  0
7  19  17  0
7  18  17  0
7  17  17  0
7  16  17  0
7  15  17  1
7  14  17  1
7  13  17  1
7  12  17  1
7  25  16  2
7  24  16  2
7  23  16  0
7  22  16  0
7  21  16  0
7  20  16  0
7  19  16  0
7  18  16  0
7  17  16  0
7  16  16  2
7  15  16  2
7  14  16  2
7  13  16  2
7  25  15  2
7  24  15  2
7  23  15  1
7  22  15  0
7  21  15  0
7  20  15  0
7  19  15  0
7  18  15  2
7  17  15  2
7  16  15  2
7  15  15  2
7  25  14  1
7  24  14  1
7  23  14  1
7  22  14  1
7  21  14  1
7  20  14  1
7  19  14  1
7  18  14  2
7  17  14  2
7  16  14  2
7  23  13  1
7  22  13  1
7  21  13  1
7  20  13  1
7  19  13  2
7  18  13  2
7  12  11  1
7  11  11  1
7  10  11  1
7  9  11  1
7  13  10  1
7  12  10  1
7  11  10  1
7  10  10  1
7  9  10  1
7  8  10  1
7  13  9  1
7  12  9  1
7  11  9  1
7  10  9  1
7  9  9  1
7  8  9  1
7  13  8  1
7  12  8  1
7  11  8  1
7  10  8  1
7  9  8  1
7  8  8  1
7  12  7  1
7  11  7  1
7  10  7  1
7  9  7  1
8  33  44  3
8  32  44  3
8  31  44  3
8  30  44  3
8  29  44  3
8  33  43  3
8  32  43  3
8  31  43  3
8  30  43  3
8  29  43  3
8  28  43  3
8  32  42  3
8  31  42  3
8  30  42  3
8  29  42  3
8  28  42  3
8  24  42  3
8  23  42  3
8  22  42  3
8  21  42  3
8  20  42  3
8  19  42  3
8  18  42  3
8  17  42  3
8  16  42  3
8  15  42  3
8  14  42  3
8  13  42  3
8  31  41  3
8  30  41  3
8  29  41  3
8  28  41  3
8  25  41  3
8  24  41  3
8  23  41  3
8  22  41  3
8  21  41  3
8  20  41  3
8  19  41  0
8  18  41  0
8  17  41  0
8  16  41  3
8  15  41  3
8  14  41  3
8  13  41  3
8  12  41  3
8  30  40  3
8  29  40  0
8  28  40  3
8  26  40  3
8  25  40  3
8  24  40  3
8  23  40  3
8  22  40  0
8  21  40  0
8  20  40  0
8  19  40  0
8  18  40  0
8  17  40  0
8  16  40  0
8  15  40  0
8  14  40  3
8  13  40  3
8  12  40  2
8  30  39  3
8  29  39  0
8  28  39  3
8  27  39  3
8  26  39  3
8  25  39  3
8  24  39  3
8  23  39  0
8  22  39  0
8  21  39  0
8  20  39  0
8  19  39  0
8  18  39  0
8  17  39  0
8  16  39  0
8  15  39  0
8  14  39  0
8  13  39  2
8  12  39  2
8  30  38  3
8  29  38  3
8  28  38  3
8  27  38  3
8  26  38  3
8  25  38  3
8  24  38  0
