0	0.7327121
1	0.7252342
2	0.7257288
3	0.7277454
4	0.7222811
5	0.7243575
6	0.7273525
7	0.7228923
8	0.7211003
9	0.7276889
10	0.7303391
11	0.7253578
12	0.728832
13	0.735055
14	0.7344682
15	0.7210829
16	0.7209127
17	0.7293195
18	0.7195037
19	0.7176053
20	0.7175392
21	0.7246112
22	0.7237203
23	0.7245129
24	0.723911
25	0.7165933
26	0.7213566
27	0.7190921
28	0.7296326
29	0.7249204
30	0.7236067
31	0.7234503
32	0.7300956
33	0.7298313
34	0.7272419
35	0.7259986
36	0.7313238
37	0.7331435
38	0.7273352
39	0.7340063
40	0.7291667
41	0.7294922
42	0.7315778
43	0.7263637
44	0.7242045
45	0.7212156
46	0.7213423
47	0.7279512
48	0.7266825
49	0.7301424
50	0.7301202
51	0.7327976
52	0.7313416
53	0.7319483
54	0.7290433
55	0.724315
56	0.7295792
57	0.7323696
58	0.7269318
59	0.7260009
60	0.7211191
61	0.7285795
62	0.7259813
63	0.7186648
64	0.7215624
65	0.7158511
66	0.7260313
67	0.730916
68	0.7254566
69	0.7258672
70	0.7193701
71	0.7212729
72	0.718894
73	0.7320028
74	0.7267891
75	0.7198956
76	0.7352095
77	0.7344542
78	0.728601
79	0.7293398
80	0.7279174
81	0.7267891
82	0.7189538
83	0.7227378
84	0.7235916
85	0.730042
86	0.7251527
87	0.7326519
88	0.7217003
89	0.7209832
